Clean,"['Glutes', 'Lower Back', 'Adductors', 'Quads']","['Hamstrings', 'Trapezius', 'Forearm Flexors', 'Calves']"
Clean and Jerk,"['Glutes', 'Lower Back', 'Adductors', 'Quads', 'Front Deltoid']","['Hamstrings', 'Trapezius', 'Forearm Flexors', 'Triceps', 'Lateral Deltoid', 'Calves']"
Deadlift,"['Glutes', 'Lower Back']","['Quads', 'Hamstrings', 'Adductors', 'Trapezius', 'Forearm Flexors']"
Deficit Deadlift,"['Glutes', 'Lower Back']","['Quads', 'Hamstrings', 'Adductors', 'Trapezius', 'Forearm Flexors']"
Dumbbell Deadlift,"['Glutes', 'Lower Back']","['Quads', 'Hamstrings', 'Adductors', 'Trapezius', 'Forearm Flexors']"
Dumbbell Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Forearm Flexors', 'Rotator Cuff']"
Dumbbell Shrug,['Trapezius'],['Forearm Flexors']
Floor Back Extension,['Lower Back'],[]
Good Morning,"['Glutes', 'Lower Back', 'Hamstrings']",['Adductors']
Hang Clean,"['Glutes', 'Lower Back', 'Adductors', 'Quads']","['Hamstrings', 'Trapezius', 'Forearm Flexors', 'Calves']"
Hang Power Clean,"['Glutes', 'Lower Back']","['Adductors', 'Hamstrings', 'Trapezius', 'Forearm Flexors']"
Hang Power Snatch,"['Glutes', 'Lower Back']","['Adductors', 'Hamstrings', 'Trapezius', 'Forearm Flexors']"
Hang Snatch,"['Glutes', 'Lower Back', 'Adductors', 'Quads']","['Hamstrings', 'Trapezius', 'Forearm Flexors', 'Calves']"
Inverted Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Forearm Flexors', 'Rotator Cuff']"
Inverted Row with Underhand Grip,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Forearm Flexors', 'Rotator Cuff']"
Jefferson Curl,['Lower Back'],"['Adductors', 'Glutes', 'Hamstrings', 'Trapezius']"
Jumping Muscle-Up,"['Chest', 'Lats', 'Triceps']","['Biceps', 'Forearm Flexors', 'Front Deltoid', 'Rear Deltoids', 'Rotator Cuffs']"
Kettlebell Swing,"['Glutes', 'Lower Back']","['Hamstrings', 'Adductors', 'Trapezius', 'Forearm Flexors']"
Lat Pulldown With Pronated Grip,['Lats'],"['Biceps', 'Rear Deltoids', 'Forearm Flexors', 'Rotator Cuffs']"
Lat Pulldown With Supinated Grip,['Lats'],"['Biceps', 'Rear Deltoids', 'Forearm Flexors', 'Rotator Cuffs']"
Muscle-Up (Bar),"['Chest', 'Lats', 'Triceps']","['Biceps', 'Forearm Flexors', 'Front Deltoid', 'Rear Deltoids', 'Rotator Cuffs']"
Muscle-Up (Rings),"['Chest', 'Lats', 'Triceps']","['Biceps', 'Forearm Flexors', 'Front Deltoid', 'Rear Deltoids', 'Rotator Cuffs']"
One-Handed Cable Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Forearm Flexors', 'Rotator Cuffs']"
One-Handed Lat Pulldown,['Lats'],"['Biceps', 'Rear Deltoids', 'Forearm Flexors', 'Rotator Cuffs']"
Pause Deadlift,"['Glutes', 'Lower Back']","['Quads', 'Hamstrings', 'Adductors', 'Trapezius', 'Forearm Flexors']"
Pendlay Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Lower Back', 'Forearm Flexors', 'Rotator Cuff']"
Power Clean,"['Glutes', 'Lower Back']","['Quads', 'Adductors', 'Hamstrings', 'Trapezius', 'Forearm Flexors']"
Power Snatch,"['Glutes', 'Lower Back']","['Quads', 'Adductors', 'Hamstrings', 'Trapezius', 'Forearm Flexors']"
Pull-Up,['Lats'],"['Biceps', 'Rear Deltoids', 'Forearm Flexors', 'Rotator Cuffs']"
Pull-Up With a Neutral Grip,['Lats'],"['Biceps', 'Rear Deltoids', 'Forearm Flexors', 'Rotator Cuffs']"
Rack Pull,"['Glutes', 'Lower Back']","['Hamstrings', 'Adductors', 'Trapezius', 'Forearm Flexors']"
Ring Pull-Up,['Lats'],"['Biceps', 'Rear Deltoids', 'Forearm Flexors', 'Rotator Cuffs']"
Ring Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Forearm Flexors', 'Rotator Cuff']"
Seal Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Forearm Flexors', 'Rotator Cuff']"
Seated Machine Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Forearm Flexors', 'Rotator Cuff']"
Snatch,"['Glutes', 'Lower Back', 'Adductors', 'Quads']","['Hamstrings', 'Trapezius', 'Forearm Flexors', 'Calves']"
Snatch Grip Deadlift,"['Glutes', 'Lower Back']","['Quads', 'Hamstrings', 'Adductors', 'Trapezius', 'Forearm Flexors']"
Stiff-Legged Deadlift,"['Glutes', 'Lower Back', 'Hamstrings']","['Adductors', 'Trapezius', 'Forearm Flexors']"
Straight Arm Lat Pulldown,['Lats'],"['Rear Deltoids', 'Rotator Cuffs']"
Sumo Deadlift,"['Glutes', 'Lower Back']","['Quads', 'Hamstrings', 'Adductors', 'Trapezius', 'Forearm Flexors']"
T-Bar Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Lower Back', 'Forearm Flexors', 'Rotator Cuff']"
Trap Bar Deadlift With High Handles,"['Glutes', 'Lower Back', 'Quads']","['Adductors', 'Trapezius', 'Forearm Flexors']"
Trap Bar Deadlift With Low Handles,"['Glutes', 'Lower Back', 'Quads']","['Adductors', 'Trapezius', 'Forearm Flexors']"
Banded Side Kicks,['Abductors'],['Glutes']
Cable Pull Through,['Glutes'],"['Lower Back', 'Hamstrings', 'Adductors']"
Clamshells,['Abductors'],['Glutes']
Dumbbell Romanian Deadlift,"['Glutes', 'Lower Back', 'Hamstrings']","['Adductors', 'Trapezius', 'Forearm Flexors']"
Dumbbell Frog Pumps,['Glutes'],"['Hamstrings', 'Adductors']"
Fire Hydrants,['Glutes'],[]
Frog Pumps,['Glutes'],"['Hamstrings', 'Adductors']"
Glute Bridge,['Glutes'],['Quads']
Hip Abduction Against Band,['Abductors'],['Glutes']
Hip Abduction Machine,['Abductors'],['Glutes']
Hip Thrust,['Glutes'],"['Adductors', 'Quads']"
Hip Thrust Machine,['Glutes'],"['Adductors', 'Quads']"
Hip Thrust With Band Around Knees,['Glutes'],"['Adductors', 'Abductors', 'Quads']"
Lateral Walk With Band,['Abductors'],['Glutes']
Machine Glute Kickbacks,['Glutes'],"['Hamstrings', 'Adductors']"
One-Legged Glute Bridge,['Glutes'],"['Adductors', 'Abductors', 'Quads']"
One-Legged Hip Thrust ,['Glutes'],"['Adductors', 'Abductors', 'Quads']"
Reverse Hyperextension,"['Glutes', 'Hamstrings', 'Lower back']",[]
Romanian Deadlift,"['Glutes', 'Lower Back', 'Hamstrings']","['Adductors', 'Trapezius', 'Forearm Flexors']"
Single Leg Romanian Deadlift,"['Glutes', 'Lower Back', 'Hamstrings']","['Adductors', 'Trapezius', 'Forearm Flexors']"
Standing Glute Kickback in Machine,['Glutes'],"['Hamstrings', 'Adductors']"
Step Up,"['Quads', 'Glutes', 'Adductors']",['Hamstrings']
Ball Slams,"['Lats', 'Abs', 'Obliques']","['Glutes', 'Front Deltoids']"
Cable Crunch,['Abs'],['Obliques']
Crunch,['Abs'],['Obliques']
Dead Bug,['Abs'],['Obliques']
Hanging Knee Raise,['Abs'],['Obliques']
Hanging Leg Raise,['Abs'],['Obliques']
Hanging Sit-Up,['Abs'],['Obliques']
High to Low Wood Chop with Band,['Obliques'],['Abs']
Horizontal Wood Chop with Band,['Obliques'],[]
Kneeling Ab Wheel Roll-Out,['Abs'],['Obliques']
Kneeling Plank,['Abs'],['Obliques']
Kneeling Side Plank,['Obliques'],['Abs']
Lying Leg Raise,['Abs'],['Obliques']
Lying Windshield Wiper,['Obliques'],['Abs']
Lying Windshield Wiper with Bent Knees,['Obliques'],['Abs']
Machine Crunch,['Abs'],['Obliques']
Mountain Climbers,['Abs'],['Obliques']
Oblique Crunch,['Obliques'],['Abs']
Oblique Sit-Up,['Obliques'],['Abs']
Plank,['Abs'],['Obliques']
Plank with Leg Lifts,['Abs'],['Obliques']
Side Plank,['Obliques'],['Abs']
Sit-Up,['Abs'],['Obliques']
Barbell Standing Calf Raise,['Calves'],[]
Eccentric Heel Drop,['Calves'],[]
Heel Raise,['Calves'],[]
Seated Calf Raise,['Calves'],[]
Standing Calf Raise,['Calves'],[]
Barbell Wrist Curl,['Forearm Flexors'],[]
Barbell Wrist Curl Behind the Back,['Forearm Flexors'],[]
Bar Hang,['Forearm Flexors'],[]
Dumbbell Wrist Curl,['Forearm Flexors'],[]
Farmers Walk,"['Forearm Flexors', 'Obliques', 'Glutes', 'Trapezius']","['Quads', 'Abs', 'Lower Back', 'Calves', 'Lateral Deltoids']"
Fat Bar Deadlift,"['Glutes', 'Forearm Flexors', 'Lower Back']","['Quads', 'Hamstrings', 'Adductors', 'Trapezius']"
Gripper,['Forearm Flexors'],[]
One-Handed Bar Hang,['Forearm Flexors'],[]
Plate Pinch,['Forearm Flexors'],[]
Plate Wrist Curl,['Forearm Flexors'],[]
Towel Pull-Up,"['Forearm Flexors', 'Lats']","['Biceps', 'Rear Deltoids', 'Rotator Cuffs']"
Barbell Wrist Extension,[],[]
Dumbbell Wrist Extension,[],[]
Rowing Machine,"['Quads', 'Glutes', 'Adductors', 'Hamstrings', 'Calves', 'Lats', 'Trapezius', 'Abs', 'Lower Back', 'Shoulders', 'Biceps']",[]
Stationary Bike,"['Quads', 'Glutes', 'Adductors', 'Hamstrings', 'Calves']","['1', '2', '3']"
Bench Press,"['Chest', 'Front Deltoid']",['Triceps']
Incline Dumbbell Press,"['Chest', 'Front Deltoid']",['Triceps']
Bar Dips,"['Chest', 'Front Deltoid']",['Triceps']
Standing Cable Chest Fly,['Chest'],['Front Deltoid']
Overhead Press,['Front Deltoid'],"['Triceps', 'Lateral Deltoid']"
Seated Dumbbell Shoulder Press,['Front Deltoid'],"['Triceps', 'Lateral Deltoid']"
Dumbbell Lateral Raise,['Lateral Deltoid'],['Front Deltoid']
Reverse Dumbbell Fly,"['Rear Deltoid', 'Rotator Cuff']",['Trapezius']
Deadlift,"['Glutes', 'Lower Back']","['Quads', 'Hamstrings', 'Adductors', 'Trapezius', 'Forearm Flexors']"
Lat Pulldown,['Lats'],"['Biceps', 'Rear Deltoids', 'Forearm Flexors', 'Rotator Cuffs']"
Pull-Up,['Lats'],"['Biceps', 'Rear Deltoids', 'Forearm Flexors', 'Rotator Cuffs']"
Barbell Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Lower Back', 'Forearm Flexors', 'Rotator Cuff']"
Dumbbell Row,"['Lats', 'Trapezius', 'Rear Deltoids']","['Biceps', 'Forearm Flexors', 'Rotator Cuff']"
Barbell Curl,['Biceps'],['Forearm Flexors']
Dumbbell Curl,['Biceps'],['Forearm Flexors']
Hammer Curl,['Biceps'],['Forearm Flexors']
Barbell Lying Triceps Extension,['Triceps'],[]
Overhead Cable Triceps Extension,['Triceps'],[]
Tricep Pushdown,['Triceps'],"['bench presses', 'shoulder presses', 'push-ups']"
Close-Grip Bench Press,['Triceps'],"['Chest', 'Front Deltoid']"
Squat,"['', 'Quads', '', 'Adductors', '', 'Glutes', '', 'Lower Back']","['', 'Calves']"
Hack Squats,"['Quads', 'Glutes', 'Adductors']",['muscle growth']
Leg Extension,['Quads'],[]
Bulgarian Split Squat,"['Quads', 'Glutes', 'Adductors']","['muscle growth', 'fix muscle imbalances', 'squat training', 'leg muscles']"
Seated Leg Curl,['Hamstrings'],[]
Lying Leg Curl,['Hamstrings'],[]
Romanian Deadlift,"['Glutes', 'Lower Back', 'Hamstrings']","['Adductors', 'Trapezius', 'Forearm Flexors']"
Squat,"['', 'Quads', '', 'Adductors', '', 'Glutes', '', 'Lower Back']","['', 'Calves']"
Hip Thrust,['Glutes'],"['Adductors', 'Quads']"
Romanian Deadlift,"['Glutes', 'Lower Back', 'Hamstrings']","['Adductors', 'Trapezius', 'Forearm Flexors']"
Bulgarian Split Squat,"['Quads', 'Glutes', 'Adductors']","['muscle growth', 'fix muscle imbalances', 'squat training', 'leg muscles']"
Cable Crunch,['Abs'],['Obliques']
Hanging Leg Raise,['Abs'],['Obliques']
High to Low Wood Chop,['Obliques'],['Abs']
Crunch,['Abs'],['Obliques']
Standing Calf Raise,['Calves'],[]
Seated Calf Raise,['Calves'],[]
